Red,IR
-4.4375,-8.1875
-4.8438,-9.375
-3.0938,-11.0625
-5.5938,-11.3125
-3.875,-11.875
-5.9688,-13.8751
-3.7188,-14.5626
-6.1875,-15.5626
-5.375,-17.1251
-4.3125,-18.1251
-5.0625,-19.8751
-7.8125,-20.5001
-7.875,-19.1876
-7.6875,-15.3126
-6.4375,-9.6875
-5.8125,0.0625
-0.7188,9.875
2.9063,18.8751
6.3438,26.9376
9.0313,33.5001
9.1563,39.2502
13.7813,42.8752
13.8438,45.6252
16.1563,46.1252
14.0938,46.1877
12.4375,45.5002
12.0938,44.1252
10.75,42.1877
9.5313,39.7502
11.8125,38.1876
9.8438,36.4376
8.8125,35.3751
8.8438,34.7501
8.1563,33.5001
9,32.5626
7.6875,30.8751
4.7813,30.7501
6.8125,29.3751
6.7188,27.7501
9.625,25.6876
9.2813,24.0626
7.125,23.5001
9.3125,22.7501
6.1875,21.6876
8.0313,21.9376
7.0625,22.8126
9.9063,23.7501
8.4375,23.7501
8.4063,23.9376
6.2813,24.6251
10.6563,25.6876
10.3125,25.3751
10.5625,26.0626
10.3438,26.0001
13.1876,25.6876
10.7813,25.4376
8.0625,25.7501
8.6563,25.3751
8.9375,24.4376
8.5,23.6876
8.0313,23.5001
10,23.0626
8.1563,21.3126
7.3438,20.0626
9.2813,20.0626
10.875,18.3751
7.5625,16.2501
5.3438,15.4376
6.9688,13.8751
8.25,11.5
7.875,9.4375
6,7.75
4.8125,5.5625
3.125,4.6875
-0.1875,2.1875
0.3125,-0.4375
1.2188,-2.875
-0.0313,-5.0625
0.5625,-6.75
-3.9063,-8.8125
-4.7188,-9.9375
-0.5938,-11.375
-3.0938,-13.7501
-4.875,-15.5626
-4.9375,-16.0626
-7,-17.3751
-3.8438,-19.3126
-3.4688,-21.4376
-4.7188,-23.8126
-8.1875,-25.8126
-9.5313,-27.8751
-10.375,-28.1876
-8.5625,-30.3751
-12.5,-32.4376
-10.5,-34.8751
-13.8751,-36.9376
-13.0625,-38.2501
-13.5313,-39.6877
-15.4688,-40.1252
-14.2813,-41.1252
-14.7813,-42.0627
-14.2501,-40.9377
-14.6251,-39.6252
-15.2501,-33.0001
-10.125,-22.5001
-8.75,-11
-4.375,2.25
-0.7188,13.5626
3.25,23.1251
6.7813,32.6876
9.9375,40.2502
14.5001,45.4377
13.2501,49.4377
14.7813,51.9377
14.6251,52.3752
13.7813,52.1877
15.3751,51.3752
16.5313,49.8127
15.4376,48.6252
15.7188,46.1877
12.625,45.3127
12.5938,42.3127
12,41.1877
15.6251,40.1252
13.6876,37.7501
12.8438,36.6251
13.7188,35.3751
13.7188,33.0001
9.8438,31.8751
11.625,29.3126
12.1875,26.6251
10.5938,25.4376
8.4063,23.7501
11.9688,23.5626
10.1875,22.9376
9.1563,22.0001
9.4688,24.1251
9.5313,24.8751
11.9063,25.1251
7.9688,25.6876
9.3125,27.0626
11,28.2501
12.125,29.4376
12.6563,29.3126
12.875,29.4376
12.5,29.3126
16.7501,29.9376
17.8438,29.0001
17.8751,27.6251
14.8438,25.6251
13.2813,24.1251
15.7188,23.4376
15.9376,21.6251
14.4063,20.8126
11.4063,18.9376
10.8125,17.7501
10.5625,16.7501
13.3126,15.9376
9.7813,14.0626
7.5625,13.0625
8.7188,11.6875
7.3438,9.5625
5.6875,8.375
5.2813,7.125
8.6875,7
6.875,5.6875
7,5.3125
5.375,3.9375
2.1875,4.125
3.4375,2.25
4.1875,2.4375
1.9063,2
3.0313,0.5
5.4375,-1.1875
5.2188,-2.125
4.7188,-3.1875
0.6563,-4.1875
2.1875,-4.25
3.4375,-4.8125
4.0938,-6.0625
3.25,-6.1875
2.9375,-5.3125
4.5,-2.6875
7.3438,3.25
8.125,10.4375
13,17.9376
14.5938,26.0626
16.0313,34.1251
19.8751,42.0002
22.4688,47.9377
22.4063,52.3127
22.6251,57.1877
25.0313,59.2502
25.5626,60.1252
22.2188,60.3752
25.8751,58.6877
22.5313,56.9377
20.8438,54.6252
21.5938,52.3127
19.5626,48.5002
19.3438,46.1252
17.4063,42.9377
17.3126,40.8752
15.6876,38.9376
17.8438,37.2501
20.2501,34.9376
18.2501,32.0626
20.0313,28.5001
15.5001,24.3751
13.3126,20.0626
11.9375,17.3751
9.3438,15.3751
9.6875,14.5626
8.0938,13.9376
6.75,14.1876
8.875,14.0001
7.25,14.9376
9.4063,15.4376
10.9688,16.4376
10.3125,17.1251
9.1563,16.5001
10.9688,16.3126
7.875,16.2501
7.9688,16.6876
10.1563,16.0001
10.875,15.2501
8.4688,13.5001
6.7188,11.6875
6.5625,10.6875
8.625,9.8125
6.1563,7.5
3.7813,5.25
3.2188,4.125
8.3125,3.25
5.4063,1.25
2.6563,-0.9375
1.7813,-1.25
1.75,-3.3125
0.9688,-5.125
-0.7813,-6.75
-4.4375,-8.625
-4.2813,-10.1875
-4.4063,-11.3125
-1.75,-12.5
-4.5,-14.4376
-8.7188,-16.0001
-5.4688,-16.1876
-4.5938,-17.0001
-5.3125,-17.6876
-6.4688,-18.9376
-3.0625,-18.5001
-2.5625,-19.6876
-4.9688,-20.5001
-8.625,-21.3126
-7.0313,-22.1876
-5.8125,-22.9376
-5.0625,-23.3126
-8.5313,-23.5626
-6.9688,-22.8126
-4.375,-21.5001
-7.4688,-19.3751
-4.1875,-15.0001
-4.4688,-8.125
1.0625,2.75
1.0938,12.75
7.375,22.1251
7.9688,31.3126
9.5,40.0002
13.6251,48.8127
15.2813,54.5002
19.8438,59.2502
20.5626,63.3752
20.5626,65.0002
21.7188,66.8753
21.5001,65.8753
23.7813,65.4378
21.0626,63.6877
25.2501,63.0002
20.6251,62.5627
20.2813,59.3127
22.0938,57.3752
20.1563,56.4377
19.7501,54.1877
19.7188,52.5002
19.3751,50.3127
17.5313,47.1877
15.3126,44.8752
14.7813,42.2502
17.5626,38.7501
15.2813,35.9376
15.0001,33.6251
11.9063,31.8126
12.9375,30.0001
10.0938,29.0626
10.4375,29.6251
13,29.3126
13.9688,29.5626
12.7188,29.4376
10.6875,29.5001
12.2188,29.0001
10.7188,28.5001
11.1875,28.2501
11.375,28.3751
15.5313,28.0001
13.3751,26.8126
10.25,24.7501
10.5625,23.8751
12.6563,22.0626
9.2188,19.8126
5.6875,16.5001
5.375,13.6251
6.75,10.4375
6.0625,6.8125
1.5,2.8125
2.0313,0.4375
4.6563,-1.25
0.0313,-4.125
-1.1563,-5.9375
0.25,-8.375
1.5625,-10.4375
-1.2188,-13.1876
-3.2813,-15.8751
-5.625,-18.0001
-3.6563,-20.0626
-5.5,-22.7501
-5.9688,-25.0626
-8.6875,-26.8751
-8.625,-28.1876
-7.7813,-29.4376
-8.7188,-30.8751
-13,-30.8751
-11.2188,-30.9376
-9,-30.2501
-9.2188,-31.9376
-11.5,-31.4376
-10.6875,-32.2501
-10.2813,-33.0001
-10.4688,-33.6251
-10.75,-33.8751
-8.5938,-34.1876
-12.5313,-34.8751
-11.1563,-36.4376
-11.375,-37.3126
-14.4688,-37.8126
-12.9688,-39.4377
-14.2188,-39.8127
-14.3438,-40.0002
-15.4688,-40.3752
-11.6875,-39.3752
-12.7813,-37.8126
-9.5938,-33.1251
-7.5938,-24.3751
-2.4375,-14.2501
4.6563,-2.3125
6.2813,8.1875
10.9375,18.8126
8,27.4376
11,35.0001
15.2188,42.5627
16.8438,46.0627
21.2813,50.3752
20.3438,51.8752
22.7813,53.3752
21.0313,52.6877
19.6251,53.1252
19.6251,51.9377
17.5938,50.7502
17.9376,48.7502
15.4376,46.5627
17.0938,46.5002
16.7813,44.9377
17.8751,43.8752
16.5626,43.1877
18.8126,42.6877
15.7501,41.3752
16.2813,39.1251
17.8126,36.4376
13.9688,32.6876
12.0313,31.6876
12.1563,30.7501
13.7813,28.1876
13.5626,26.1876
11.5938,25.9376
11.25,26.0626
13.3438,25.6876
13.5001,26.1251
9.5,27.2501
13.3126,27.6251
12.1875,27.4376
12.625,26.8126
11.4688,26.1251
11.0625,26.1876
11.0938,25.1251
11.4063,24.2501
10.2813,22.0626
9.75,20.3126
9.5,18.1876
7.4063,17.2501
5.125,16.0001
7.0938,14.7501
6.4688,11.75
7.4063,9.5
4.0313,6.3125
1.7813,4.25
1.1875,1.625
-0.5938,-0.875
0.8125,-3.1875
1.3125,-6.25
-2.75,-8.4375
-4.1563,-11.5
-6.5625,-12.1875
-7.0938,-13.4376
-5.0938,-16.2501
-3.8125,-18.7501
-7.75,-22.5626
-8.8438,-24.9376
-11.6875,-27.3126
-8.4375,-29.6876
-11.375,-31.6876
-12.8125,-33.5001
-12,-34.1876
-10.1875,-34.8751
-11.875,-36.2501
-9.6875,-37.8751
-12.5625,-39.0001
-13.9688,-40.3127
-13.8438,-40.8752
-15.4063,-42.5002
-15.1563,-42.5627
-15.9063,-42.9377
-15.5313,-43.3127
-14.5626,-43.2502
-16.0938,-43.3752
-15.3438,-41.5002
-12.25,-39.5002
-10.25,-32.4376
-10.1563,-22.5626
